,French,English
0,histoire,history
1,aide,help
2,genre,kind
3,frère,brother
4,longtemps,long time
5,compris,understood
6,étaient,were
7,attention,Warning
8,voici,here is
9,affaire,case
10,endroit,place
11,façon,way
12,écoute,listen
13,trouve,find
14,main,hand
15,tiens,here
16,matin,morning
17,venu,came
18,suite,after
19,pardon,sorry
20,venez,come
21,minutes,minutes
22,chambre,bedroom
23,mis,placed
24,belle,beautiful
25,droit,law
26,aimerais,would like to
27,eau,water
28,attendez,Wait
29,arrêter,Stop
30,terre,Earth
31,fin,end
32,plutôt,rather
